NAME,RED,GREEN,BLUE,PURPLE,YELLOW,GREY,WHITE,BLACK,TYPE
Jungle 1,31.297768967661693,22.6716542072623,0.25475757065367605,0.10201146322784227,12.859311659296113,19.93108639384098,6.049415646017597,6.617088710095357,Jungle
Ocean 1,2.863876688605583,1.9412108295328911,89.1241099911323,0.7084882661346048,2.5649116253224618,0.3106926305970149,0.19173375023032982,2.0780708365003684,Ocean
Ocean 2,8.039606114393312,3.225019290123457,82.237921359637,0.49404471421826057,1.7516448789040906,1.295630319179565,0.13937528071448313,2.599852660885388,Ocean
Jungle 2,36.89796442411784,4.158567154102174,1.5890451532845034,0.3941704599110927,17.860141026637645,24.64694971323936,5.437138850020729,8.799117836742214,Jungle
Jungle 3,38.25840056085314,4.132789287071587,1.2506370059425096,0.7231942860926848,6.316096024507094,31.840922881253455,1.598820675269486,15.662233897065597,Jungle
Ocean 3,2.9026071897457157,1.8851116595840243,89.23201285960245,0.6714775010940667,2.558281725055279,0.27234865170674405,0.21163568730421964,2.0496193439630552,Ocean
Jungle 4,28.928059895833332,0.0,0.18528645833333332,0.02849392361111111,21.27121310763889,16.139984809027776,2.5810872395833333,30.648969184027777,Jungle
Ocean 4,12.605555555555556,0.0,74.93899739583334,0.0,0.0,0.0005642361111111111,0.0,12.237977430555556,Ocean
Jungle 5,26.611135223765434,0.0,4.067057291666667,1.7129026813271604,31.58227237654321,18.890420042438272,9.670452353395062,7.248854648919753,Jungle
Ocean 5,9.852615017361112,0.064847712378,70.29558376736111,2.5565549874123,1.982314588962,0.028515625,0.0,15.606380208333333,Ocean
Jungle 6,8.75927734375,0.0,33.888812934027776,15.26980251736111,17.055924479166666,12.722287326388889,12.086859809027779,0.00013020833333333333,Jungle
Ocean 6,18.959843388310187,0.0,66.68608940972223,7.4487485532407405,1.1497938368055556,0.17592592592592593,3.077265986689815,2.285427517361111,Ocean
Jungle 7,41.32285748106061,0.0,8.028152619949495,7.327197758838384,5.138967803030303,33.32377485795455,0.17643229166666666,4.465711805555555,Jungle
Ocean 7,29.40822482638889,0.0,26.111100260416666,14.6470703125,5.299587673611111,15.953309461805556,0.5869140625,7.776888020833334,Ocean
Jungle 8,28.50336371527778,0.0,0.010678891782407407,0.224609375,51.572347005208336,18.107593677662038,2.712673611111111e-05,1.3644748263888888,Jungle
Ocean 8,7.419990924873737,0.0,88.07425820707071,1.8217625473484849,0.08839370265151515,0.8520458491161617,0.024996054292929292,1.50164733270202,Ocean
